v0.51 and above:
   Extract to a ./gfx/tracks/ dir

Old versions:
   Extract to a ./gfx/ dir

------------------------------------------------------------------
Track                  Author          UID
Crash-Burn-Repeat      GanjaRider      YhLSuSB3oTZjo79lO1rP3uwmIya
Crazy Slalom           Astarotch       XG7lybcx2WbTUkS_UJBE5uKHke3
DYNAMIX                pitstep         zqJ9EHqD5ApLuj5iGMYHbDsq_Gl
Dark Playground        Zharihnn        4_N3w_dO5PATf4yazaqGyIaDu26
DenGStaR               DEnGel          kPNQLAEfGp95cuunD6Dfe9WpJ6a
DivineIntervention     Andey           k0muVzrHBiePlHojFrFknlrb13k
Don't sleep            Trojaner        NIg4dQplc9v4P8ExqX03S4kqyn4
Double-Impact          __n4drive_      mo0hVPLifbmOCOb7pSgJKEfSjCm
Duo  Action 2          Andree          1UhltdvJxKpw27wsErSpWPQ3bR1
Enrage                 Acegikmo        gZ8ImsjYgFWsORBm5g7Ke5FNsWm
FantaSpeed             DEnGel          TRw0qtXdM_nOL2hf4fFjaBUaVNg
Fast Food GP           GeronimoDubois  4kJes5JewcxtH5LOcDZQE17sLo5
FastLANE2-v2theAft...  DerFeineHerr    rFjkTKotx75vmd5ic_vJqeb0RPl
Fight                  Trojaner        O5qrcSR87GqjvVZqAfBo7CUksu7
Fight Of Nations       demon_fire      BItE5kIj_3MC6ClsAnu1BTpr_o9
FoR JiBoX              KeV             DG74vh5o9F3Um0JB707tK4sFz0m
Formula                Lemmjng-        vuOyuFSkS1CtoMsvKbgsQACNBkj
GoldenLoop             Rayden          LMiDwxz_CIS1Ccz99bSKXqvzgTf
GreyShades             Andey           S4gao6MKYFc_5cTR_SLV6tkArsi
HOTline                pitstep         ZEVSyxSglvDc9iRZ7_N9qgK0FTa
HammeRRun              DEnGel          rMzBwM138xrNvyfbTx1rrYtBdo9
Heart In A Cage        toph1980        wzoxfwg4Atbh9GLKy7sctlsBzlg
Hell Race              -Really-        vDY_3n2nfux7McDCbR0rIQ4zcR0
High Society           DEnGel          wy9Ah0hf4qID6k2RIDNSNxcYYS7
Hight Speed Stadium    Crazy__Driver   7ydoy6oqesdcRqPwVXdotBUhwUg
Instinctif 2           demon_fire      JNUjIH3r5M0rT2igAYMyAaNcaPk
Inversion World Tour   Shadow230990    WvmYm787kOWjqB8sv2e1ckWjfYj
Iron Jungle            Shadow230990    2J9au2x6UvhnXH3D8nuEdP_csLj
Jumping GP 8           DK              2wDplUkQ47NUGfnR6QpGYv0gvQ7
KissingTheShadows      MasterDisaster  UzLLKcJv4LfCfGFTLfA0WG_puge
Mortal kombat          Skotinka        IO6TpMEjV7qkkMtNhhzZcLi2sGb
Need Speed             DarcKz          EXD0svQDzxQdQ8dYxBsbZs47r1c
NoWorries              RacerSpooKy     Q_JGrkezmFxaebFTnxfauneDaA8
ORAGE-MECHANIC         ARO             DMfkoygO0jbTEUhsLBvHyw_FHvm
Offroad Skill v4.0     BrummHummel     yV65bwuhNCT42tZXPqUO1xEbPuc
Olympia                Scythesman      CDhDT_97H6RUtbmF6yACxCCHf6g
On - Line              Trojaner        4nugMJtinYUC88C2iWF8tC_ltD2
Optimal Craze          Baboy           zpw0rCoUGjSzPadtN_JxzT2RqNe
P1mP 4 LiFe            DaCheCker       4XXIDXzGo1t8Bj2NhlG8H07I8K3
PHP-GOES-MAD 3         PHP1987M        xSSUbGBvJQqshdrkN_mWC4RRru3
PiLoTT                 eMyoL           xSu_IQGz0qO29WcQIpbM3GERnJh
Psycho's Track         Crazy__Driver   fvXgqoaU75BQMaWIcZkXHdbxwAj
Question !             Sabaku          tOOq1XoL3IkzC3gtkg21jU6OB47
